nconst,category,primaryName,birthYear,deathYear,knownForTitles
nm0816769,writer,David Spancer,1968.0,2011.0,"tt0103466,tt0165598,tt0118364,tt0926732"
nm0696059,actress,Laura Prepon,1980.0,,"tt0165598,tt2372162,tt3631112,tt5655222"
nm0696059,actress,Laura Prepon,1980.0,,"tt0165598,tt2372162,tt3631112,tt5655222"
nm0696059,actress,Laura Prepon,1980.0,,"tt0165598,tt2372162,tt3631112,tt5655222"
nm0696059,actress,Laura Prepon,1980.0,,"tt0165598,tt2372162,tt3631112,tt5655222"
nm0696059,actress,Laura Prepon,1980.0,,"tt0165598,tt2372162,tt3631112,tt5655222"
nm0696059,actress,Laura Prepon,1980.0,,"tt0165598,tt2372162,tt3631112,tt5655222"
nm0696059,actress,Laura Prepon,1980.0,,"tt0165598,tt2372162,tt3631112,tt5655222"
nm0696059,actress,Laura Prepon,1980.0,,"tt0165598,tt2372162,tt3631112,tt5655222"
nm0696059,actress,Laura Prepon,1980.0,,"tt0165598,tt2372162,tt3631112,tt5655222"
nm0696059,actress,Laura Prepon,1980.0,,"tt0165598,tt2372162,tt3631112,tt5655222"
nm0696059,actress,Laura Prepon,1980.0,,"tt0165598,tt2372162,tt3631112,tt5655222"
nm0696059,actress,Laura Prepon,1980.0,,"tt0165598,tt2372162,tt3631112,tt5655222"
nm0696059,actress,Laura Prepon,1980.0,,"tt0165598,tt2372162,tt3631112,tt5655222"
nm0696059,actress,Laura Prepon,1980.0,,"tt0165598,tt2372162,tt3631112,tt5655222"
nm0696059,actress,Laura Prepon,1980.0,,"tt0165598,tt2372162,tt3631112,tt5655222"
nm0696059,actress,Laura Prepon,1980.0,,"tt0165598,tt2372162,tt3631112,tt5655222"
nm0696059,actress,Laura Prepon,1980.0,,"tt0165598,tt2372162,tt3631112,tt5655222"
nm0696059,actress,Laura Prepon,1980.0,,"tt0165598,tt2372162,tt3631112,tt5655222"
nm0696059,actress,Laura Prepon,1980.0,,"tt0165598,tt2372162,tt3631112,tt5655222"
nm0696059,actress,Laura Prepon,1980.0,,"tt0165598,tt2372162,tt3631112,tt5655222"
nm0005519,actor,Wilmer Valderrama,1980.0,,"tt0165598,tt0320244,tt0364845,tt1583420"
nm0005519,actor,Wilmer Valderrama,1980.0,,"tt0165598,tt0320244,tt0364845,tt1583420"
nm0005519,actor,Wilmer Valderrama,1980.0,,"tt0165598,tt0320244,tt0364845,tt1583420"
nm0005519,actor,Wilmer Valderrama,1980.0,,"tt0165598,tt0320244,tt0364845,tt1583420"
nm0005519,actor,Wilmer Valderrama,1980.0,,"tt0165598,tt0320244,tt0364845,tt1583420"
nm0005519,actor,Wilmer Valderrama,1980.0,,"tt0165598,tt0320244,tt0364845,tt1583420"
nm0005519,actor,Wilmer Valderrama,1980.0,,"tt0165598,tt0320244,tt0364845,tt1583420"
