tconst,averageRating,numVotes
tt1440292,7.3,91069
tt1037705,6.8,317809
tt0964517,7.8,366502
tt1637725,6.9,611844
tt2637276,6.3,209156
tt0918927,7.5,129719
tt1458175,7.3,197196
tt0458339,6.9,837705
tt1843866,7.8,836939
tt1219289,7.4,570474
tt1486185,5.4,112494
tt1318514,7.6,527104
tt1212450,7.2,242330
tt1291584,8.2,470294
tt0810922,6.3,53608
tt1645080,6.5,59156
tt2179136,7.3,485014
tt1045658,7.7,706221
tt1951261,5.8,314505
tt1790886,6.1,131737
tt1605630,6.7,214629
tt1645170,6.4,305903
tt0903624,7.8,821048
tt1170358,7.8,657851
tt2310332,7.4,527751
tt1596365,6.4,183725
tt1840417,7.0,78461
tt2229499,6.5,239940
tt1321870,6.7,215800
tt2975590,6.4,694938
tt3063516,6.5,95377
tt1937390,6.9,124449
tt2382009,6.6,92772
tt0770828,7.1,764735
tt1979320,8.1,477015
tt2103281,7.6,440335
tt3765088,6.7,2046
tt0470752,7.7,540830
tt2488496,7.8,923925
tt3397884,7.6,426382
tt4172430,7.3,142300
tt3748440,5.7,15863
tt1431045,8.0,1022824
tt3748528,7.8,625151
tt2527336,6.9,625984
tt2763304,7.2,124323
tt6336270,5.6,1793
tt2562232,7.7,626383
tt1306980,7.6,330271
tt5723272,7.1,33129
tt4943998,7.4,23149
tt0556311,8.3,1369
tt0556305,8.5,1324
tt0556294,8.1,1262
tt0556281,8.1,1261
tt0556282,9.0,1474
tt0556283,8.1,1233
tt0556284,8.1,1245
tt0556285,8.0,1246
tt0556290,8.2,1253
tt0828738,8.7,1272
tt0770857,8.9,1324
tt0828739,8.4,1438
tt2349740,8.2,3161
tt2573020,8.0,2404
tt2598996,8.0,2231
tt2637674,8.1,2103
tt2637678,7.9,1975
tt2637676,8.6,2107
tt2637680,7.9,1913
tt2637682,7.9,1847
tt2737870,8.4,1898
tt2737872,8.3,1857
tt2737876,8.2,1744
tt2737880,9.0,2315
tt2726822,8.4,1714
tt3459856,7.9,1561
tt3459862,7.9,1533
tt3459860,8.0,1518
tt3459858,8.2,1560
tt3459866,8.0,1483
tt3459864,7.9,1438
tt3533366,8.0,1436
tt3553756,8.5,1568
tt3594864,8.0,1372
tt3594870,8.1,1376
tt3594868,8.2,1368
tt3599846,8.8,1682
tt3672866,8.1,1430
tt0993846,8.2,1382612
tt0361748,8.3,1427956
tt0133093,8.7,1891905
tt1343092,7.2,540138
tt0840361,7.5,389296
tt0181689,7.7,548976
tt3029774,7.9,2107
tt3669680,8.3,1988
tt3678086,8.5,2055
tt3680402,8.5,1931
tt3709284,8.5,1992
tt3709286,8.9,2272
tt3740788,9.5,3280
tt3239886,8.1,2089
tt3868862,7.8,1933
tt3908430,8.3,1956
tt3908436,9.0,2274
tt3783560,9.1,2453
tt3756834,9.3,4169
tt2470504,7.6,2171
tt2649564,7.7,2006
tt2551222,7.8,1953
tt2560864,8.0,1924
tt2717848,8.2,2035
tt2717850,8.8,2343
tt2663614,7.9,1915
tt2882250,8.6,2490
tt2882248,8.3,2006
tt2939966,8.1,1863
tt2939964,8.7,2104
tt2939970,8.5,1908
tt2939968,9.1,2449
tt2049166,9.4,2984
tt2048448,8.5,2420
tt2049168,8.5,2148
tt2049169,7.8,2037
tt2049170,8.6,2225
tt2049171,9.0,2692
tt2049172,9.1,2957
tt2049174,8.2,2043
tt2049164,8.2,2029
tt2049165,9.4,3150
tt2049167,8.6,2267
tt1615656,8.5,2342
tt1615661,8.2,2098
tt1615662,8.6,2281
tt1615663,8.2,2080
tt1615664,8.6,2179
tt1615665,8.6,2198
tt1615666,9.7,5595
tt1615667,8.6,2263
tt1615668,8.8,2290
tt1615657,8.7,2088
tt1615658,8.3,1947
tt1615659,8.8,2132
tt1615660,9.0,2462
tt1439792,8.2,2278
tt1449612,7.8,2099
tt1484415,8.1,2244
tt1484416,8.0,2101
tt1484417,8.0,2120
tt1484435,9.1,2890
tt1472778,8.4,2184
tt1484662,8.0,2085
tt1484663,8.2,2046
tt1484249,8.3,2105
tt1484250,9.2,2818
tt1484251,8.9,2439
tt1484414,9.6,4423
tt1118051,7.7,2467
tt1118056,7.9,2386
